,Year,State,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
167,2013,Texas,19.632235084594836,37.09973285841496,4.4766618532108415,4.499009714901967
168,2014,Arizona,31.296819787985864,44.74457344775366,4.737902619006169,6.534137821946302
169,2014,California,19.62805844041542,40.746230123804494,4.171058348071648,5.7022520401516115
170,2014,Colorado,30.119482320314305,38.46036514906402,5.702951717498328,5.714034543723896
171,2014,Florida,12.141666666666667,35.43055555555556,3.9232500445714145,5.992741781786953
172,2014,Illinois,21.397769516728623,34.87918215613383,6.276373753782424,5.3263642518406655
173,2014,Indiana,21.040506329113924,37.51898734177215,10.444048216160654,4.852727717089334
174,2014,Kansas,22.946022727272727,33.88636363636363,9.026722266793563,5.089206428251583
175,2014,Louisiana,21.867069486404834,34.62537764350453,6.026250212412936,4.95146954278054
176,2014,New York,28.77310924369748,32.252100840336134,5.445927448866378,5.174767925577842
177,2014,North Carolina,16.666873834679926,37.41516469857054,4.003279911293257,5.117009899998418
178,2014,Pennsylvania,18.855610972568577,35.77082294264339,7.239402746061768,4.571366367429784
179,2014,Texas,19.687979061506823,35.112544400822586,4.240601553663303,4.5253107776133685
180,2015,Arizona,26.220580994583948,44.89807976366322,4.376534551382424,5.998298175679672
181,2015,California,18.933560684489372,41.0702758662688,4.177013895343765,5.681843004798923
182,2015,Colorado,35.530680728667306,38.63950143815916,6.021778594693829,6.2710714555835185
183,2015,Florida,9.618233618233619,34.08262108262108,3.790165998987376,6.231915570960742
184,2015,Illinois,18.20337552742616,36.37721518987342,5.5372482395642155,5.254837421730719
185,2015,Indiana,23.509774436090225,37.123308270676695,7.164739184086798,5.112580491233226
186,2015,Kansas,22.923766816143498,34.369207772795214,7.862818347112266,5.3069619033734075
187,2015,Louisiana,18.566896551724138,33.990344827586206,5.087627439207395,4.618989341015111
188,2015,New York,29.803867403314918,33.83701657458563,4.808662874528364,5.13503766883426
189,2015,North Carolina,15.23954642097803,38.69099929128278,3.8882344921656533,5.058534681078915
190,2015,Pennsylvania,15.19182782283219,37.55021834061135,6.610871266834849,4.375559253332165
191,2015,Texas,18.16449971735444,37.288298473713965,4.136318334703344,4.712683996471981
192,2016,Arizona,29.652941176470588,37.370588235294115,4.116795796205426,6.892414984401266
193,2016,California,16.164363636363635,32.9,4.1422937415086025,5.830660973706209
194,2016,Colorado,42.15985130111524,31.286245353159853,5.531949961960917,6.920230422844361
195,2016,Florida,13.857142857142858,36.86813186813187,3.964565673387034,6.701594040639164
196,2016,Illinois,20.837988826815643,31.201117318435752,5.130597965117694,5.216174432314498
197,2016,Indiana,23.969072164948454,35.154639175257735,4.248693916278163,4.951905584765158
198,2016,Kansas,24.165714285714287,29.542857142857144,4.920498139554806,5.018297337342478
199,2016,Louisiana,24.99122807017544,34.36842105263158,5.0404284071445185,4.6474201443600185
200,2016,New York,30.90794979079498,29.606694560669457,4.901068501103282,5.165661354078854
201,2016,North Carolina,17.046808510638296,37.702127659574465,3.81967439445325,4.900424996916908
202,2016,Pennsylvania,15.604511278195488,33.41353383458647,5.656206978371978,3.8599514726808004
203,2016,Texas,21.184761904761906,35.63428571428572,4.246543695365014,5.013535432580637
